"word","lemma","uni_lemma","lexical_class","aoa","aoa_fit"
"pig","pig","pig","nouns",22,20.3214216196472
"pillow","pillow","pillow","nouns",22,21.855182434483
"pizza","pizza","pizza","nouns",22,21.0358895993254
"plant","plant","plant","nouns",26,25.9357502002881
"plate","plate","plate","nouns",23,23.4521285009318
"play","play","play","verbs",22,22.2431910807945
"playground","playground","playground","other",28,27.0753265728429
"please","please","please","other",19,18.4885022138045
"police","police","police","other",28,27.8943907534555
"pony","pony","pony","nouns",28,27.3170256155232
"pool","pool","pool","nouns",24,23.0325012326591
"popcorn","popcorn","popcorn","nouns",24,23.4363679714091
"popsicle","popsicle","popsicle","nouns",25,25.0300004118884
"potato","potato","potato","nouns",25,24.6581986281825
"potty","potty","potty","nouns",21,20.6763480452603
"pour","pour","pour","verbs",27,27.2187415846513
"present","present","present","nouns",24,24.6646271657462
"pretty","pretty","pretty","adjectives",24,23.9058048731703
"pretzel","pretzel","pretzel","nouns",28,25.4041172053385
"pudding","pudding","pudding","nouns",28,28.0601939947389
"pull","pull","pull","verbs",26,25.525066212483
"pumpkin","pumpkin","pumpkin","nouns",26,24.9465310748901
"puppy","puppy","puppy","nouns",21,20.2674401441956
"purse","purse","purse","nouns",24,24.2669769337971
"push","push","push","verbs",24,24.0195964191408
"put","put","put","verbs",26,26.1323749721684
"puzzle","puzzle","puzzle","nouns",24,23.7505982619052
"quiet","quiet","quiet","adjectives",26,26.0439664646498
"radio","radio","radio","nouns",27,26.6469919896489
"rain","rain","rain","nouns",22,21.6842509924608
"raisin","raisin","raisin","nouns",24,23.5035997857306
"read","read","read","verbs",22,22.044745290783
"red","red","red","adjectives",23,23.4714464429864
"refrigerator","refrigerator","refrigerator","nouns",25,25.0850208725777
"ride","ride","ride","verbs",23,23.6203399793879
"rock","rock","rock (object)","nouns",22,21.5341383258797
"roof","roof","roof","nouns",28,28.1320805770063
"room","room","room","nouns",24,24.1477530271112
"rooster","rooster","rooster","nouns",28,27.1326966547474
"run","run","run","verbs",22,23.1465580610517
"sad","sad","sad","adjectives",28,25.7480618687072
"salt","salt","salt","nouns",28,27.702405350881
"sandbox","sandbox","sandbox","nouns",27,26.6840394926051
